street,house
Дзержинского, 196
Бруснева, 15
М.Морозова, 82
Пригородная, 197
45 параллель, 39
Восточный, 2
Доваторцев, 37/7
Магистральная, 16/2
45 Параллель, 5/6

